Voter ID,County,Candidate
13025169,Marsh,Correy
15608978,Marsh,Khan
10806054,Bamoo,Khan
10164183,Bamoo,Khan
11733886,Marsh,Khan
16650890,Queen,Correy
19568366,Marsh,Li
16279515,Marsh,Khan
12002137,Marsh,Khan
11582993,Marsh,O'Tooley
11295764,Bamoo,Khan
16179930,Marsh,Khan
17664653,Marsh,Khan
19512131,Queen,Correy
11548982,Marsh,Khan
13455021,Queen,Correy
12731855,Marsh,Khan
16466329,Bamoo,Khan
17575096,Marsh,Correy
16632103,Marsh,Correy
10277549,Queen,Khan
14840444,Marsh,Khan
12433556,Bamoo,Correy
13784544,Queen,Khan
15467918,Marsh,Khan
13829451,Marsh,Khan
17896784,Marsh,Khan
18877663,Marsh,Li
17740972,Bamoo,Khan
19624391,Marsh,Correy
13732162,Marsh,Khan
15198210,Marsh,Khan
11317335,Marsh,Khan
19226957,Queen,Correy
18338670,Marsh,Khan
11273450,Marsh,Li
13860264,Marsh,Khan
12495172,Queen,Li
19229417,Marsh,Khan
10903405,Raffah,Khan
15777734,Marsh,Khan
16340551,Marsh,Khan
17164496,Marsh,Khan
10169395,Queen,Li
12887396,Marsh,Khan
18393849,Queen,Khan
10326870,Bamoo,Khan
19137789,Marsh,Khan
15283469,Marsh,Correy
13547028,Marsh,Khan
17814065,Queen,Khan
14782758,Marsh,Khan
12844238,Marsh,Li
11120151,Queen,O'Tooley
19958579,Marsh,Khan
14005237,Marsh,Li
12571226,Queen,Khan
12785396,Marsh,Li
16701618,Marsh,Correy
14213701,Queen,Khan
17579179,Queen,Khan
14685893,Queen,Khan
14023238,Queen,Correy
14861648,Marsh,Correy
18927949,Marsh,Khan
17759019,Marsh,Li
17506612,Marsh,Khan
17475333,Queen,Li
10752076,Queen,Khan
14138817,Marsh,Khan
18613529,Bamoo,Khan
13111072,Bamoo,Khan
18905981,Bamoo,Correy
12452686,Queen,Khan
15612725,Marsh,Khan
12335390,Marsh,Correy
14708575,Bamoo,Khan
17221239,Marsh,Khan
16186647,Bamoo,Correy
17157486,Marsh,Li
19365657,Bamoo,Khan
11485419,Marsh,Li
14479478,Marsh,Khan
17121462,Bamoo,Khan
13353052,Marsh,Khan
16235144,Queen,Khan
13685989,Marsh,Khan
18473462,Marsh,O'Tooley
11968645,Queen,Khan
14414829,Marsh,Khan
12779595,Raffah,Khan
17021039,Marsh,Li
11488812,Marsh,Khan
16572909,Queen,Correy
16006654,Marsh,Khan
14819470,Marsh,Correy
13559446,Marsh,Khan
10230035,Marsh,Khan
18941400,Queen,Khan
18476720,Trandee,O'Tooley
16409801,Marsh,Khan
15740294,Marsh,Khan
16658878,Marsh,Khan
19492234,Marsh,Khan
15085549,Marsh,Khan
17484147,Raffah,Khan
10824950,Marsh,Khan
19073240,Marsh,Khan
18355115,Marsh,Khan
19601081,Marsh,O'Tooley
11830982,Queen,Khan
12756352,Bamoo,Khan
13116461,Queen,Khan
16248285,Marsh,Correy
11464177,Marsh,Khan
15190034,Queen,Khan
14794328,Marsh,Li
13333088,Trandee,Li
18934136,Queen,O'Tooley
11829515,Marsh,Li
15147310,Marsh,Khan
14059311,Marsh,Correy
15383902,Marsh,Khan
13616317,Marsh,Khan
16642038,Bamoo,Khan
19474096,Marsh,Khan
16627829,Queen,Khan
17312104,Trandee,Correy
19333666,Marsh,Li
16545179,Marsh,Khan
15775400,Marsh,Khan
11658238,Marsh,Khan
14505991,Marsh,Correy
12385464,Queen,O'Tooley
14977834,Bamoo,Khan
14739509,Marsh,Khan
15870256,Marsh,Correy
19433210,Queen,Correy
12134771,Marsh,O'Tooley
13610313,Bamoo,Li
11691577,Marsh,Khan
15568032,Marsh,Khan
19526183,Queen,Khan
13746004,Queen,Correy
16483708,Queen,Correy
12710014,Marsh,Li
19696024,Marsh,Khan
13532168,Queen,Khan
16864602,Marsh,Khan
13236101,Marsh,Khan
19128698,Marsh,Khan
13932564,Marsh,Li
12125814,Marsh,Khan
14323133,Marsh,Correy
11253181,Marsh,Li
15482560,Marsh,Khan
15228303,Marsh,Khan
